idx,dtlstatenm,addr,type,nm,lat,lng
1,영업중,"서울특별시 광진구 능동로38길 10-1, 지층 (중곡동)",학원,참진댄스스포츠,37.5575156292653,127.08050423912
2,영업중,"서울특별시 도봉구 마들로11길 73, 지층 7,8,9,14,15호 (창동)",학원,탑댄스 아카데미,37.6532567533904,127.049060560533
3,영업중,서울특별시 종로구 동호로 406-1 (종로5가),학원,국제무도학원,37.5706007422209,127.002255096369
4,영업중,서울특별시 종로구 종로 62 (종로2가),학원,탑댄스 스포츠,37.5699336122191,126.984287137633
5,영업중,서울특별시 종로구 종로31길 22 (연지동),학원,스포츠댄스,37.5719315335697,126.999820127904
6,영업중,"서울특별시 중구 세종대로 28, 5층 (남대문로5가)",학원,썬 무도학원,37.5588849988761,126.974638383017
7,영업중,서울특별시 성동구 무학로2길 48 (도선동),학원,천사스포츠댄스,37.5623887641634,127.034694813429
8,영업중,"서울특별시 성동구 천호대로 296, 영보빌딩  3층 (용답동)",학원,위너스 댄스스포츠,37.5660126480034,127.053138658366
9,영업중,"서울특별시 성동구 천호대로 282, 남주빌딩 지하1층 (용답동)",학원,최동일&홍미경 댄스스포츠 아카데미,37.5667983056365,127.052152534724
10,영업중,"서울특별시 성동구 자동차시장1길 85, JS 빌딩 지하2층 (용답동)",학원,블랙플 댄스스포츠,37.5605377248611,127.067148620046
11,영업중,서울특별시 동대문구 천호대로 263 (답십리동),학원,해바라기 댄스,37.5685046121538,127.051120497766
12,영업중,"서울특별시 동대문구 장한로2길 36, 2,3층 (장안동)",학원,더오페라,37.5617499581591,127.067091532
13,영업중,"서울특별시 중랑구 면목로 318, 611동 3호 (면목동,3층)",학원,나너 댄스스포츠,37.5802323207696,127.088455941098
14,영업중,"서울특별시 동대문구 천호대로 305, 지하1층 (답십리동)",학원,굿댄스라이프,37.5659324524229,127.054536940859
15,영업중,서울특별시 중랑구 망우로 384 (망우동),학원,조이 스포츠댄스,37.598456280684,127.094898130177
16,영업중,서울특별시 중랑구 상봉로 108 (망우동),학원,김정민 댄스스포츠 학원,37.5954420338517,127.093292722403
17,영업중,"서울특별시 도봉구 마들로11가길 15, 4층 402호 (창동)",학원,김정남 댄스,37.6526568870103,127.049257910527
18,영업중,서울특별시 도봉구 마들로11가길 12 (창동),학원,하바나댄스스포츠학원,37.6528132165075,127.048802690211
19,영업중,"서울특별시 도봉구 마들로11가길 13, 505호 (창동, 월드프라자)",학원,국제학원,37.652904680016,127.049203340119
20,영업중,"서울특별시 도봉구 마들로11가길 16, KING 프라자 8층 803호 (창동)",학원,백장미댄스,37.6525659173791,127.048970356141
21,영업중,"서울특별시 도봉구 노해로69길 15-15, 지하1층 1-6,13-22호 (창동)",학원,안혜상 댄스 아카데미,37.6528238071177,127.049976589031
22,영업중,"서울특별시 은평구 통일로 724, 4층 (불광동)",학원,불광무도학원,37.6103214562903,126.930363138778
23,영업중,"서울특별시 은평구 통일로 855-16, 4층 (갈현동)",학원,서울무도학원,37.6195270333319,126.920254459044
24,영업중,"서울특별시 은평구 통일로 728, 4층 (불광동)",학원,아사모생활댄스연수학원,37.6105757824283,126.930171610875
25,영업중,"서울특별시 강서구 방화동로 1, 3층 (방화동)",학원,송정 댄스스포츠,37.5621635742806,126.808044242886
26,영업중,서울특별시 강서구 강서로5나길 134 (화곡동),학원,한국스포츠무도학원,37.5284038783305,126.840748879491
27,영업중,"서울특별시 강서구 강서로12길 5-15, 2층 (화곡동)",학원,현대무도학원,37.5321240068703,126.846940027199
28,영업중,"서울특별시 강서구 개화동로29길 60, 3층 (방화동)",학원,관문스포츠댄스학원,37.5634654168104,126.809710612576
29,영업중,"서울특별시 영등포구 여의대방로 383, 501,502호 (여의도동,경도빌딩)",학원,써니박 라틴댄스 아카데미,37.5193436883433,126.931504190261
30,영업중,"서울특별시 영등포구 영중로 95-1 (영등포동7가,지하1층)",학원,와 스포츠댄스학원,37.5248769411722,126.905087792624
31,영업중,"서울특별시 영등포구 영등포로 251 (영등포동2가,3층층)",학원,동작무도학원,37.5192505630959,126.909359491863
32,영업중,"서울특별시 영등포구 영중로 52-1, 지하1층 (영등포동5가)",학원,세븐댄스스포츠,37.5208706088216,126.905168093153
33,영업중,"서울특별시 영등포구 영등포로 231-1, 3층 (영등포동5가)",학원,이동석댄스스포츠스쿨,37.5196557463138,126.907273082927
34,영업중,"서울특별시 관악구 조원로2길 42, 지하1층 (신림동)",학원,디앤스토리 댄스 스튜디오,37.481886077083,126.901530876573
35,영업중,"서울특별시 관악구 신림로70길 20, 지하1층 (신림동)",학원,클래스댄스스쿨,37.4876733452452,126.929963012921
36,영업중,"서울특별시 관악구 시흥대로 578 (신림동,광안빌딩 지2층)",학원,공단무도학원,37.4843090452129,126.903247316338
37,영업중,서울특별시 서초구 강남대로53길 7  (서초동),학원,강남무도학원,37.4942643848404,127.028259839376
38,영업중,"서울특별시 강남구 학동로 342, 에스케이 허브블루 B2층 201호 (논현동)",학원,샤리권 댄스스쿨,37.5167560126387,127.040841265738
39,영업중,"서울특별시 강남구 논현로 604 (논현동,5층)",학원,월드댄스아카데미(12),37.5076483851132,127.034040281333
40,영업중,서울특별시 강남구 강남대로 620 (신사동),학원,신사(6),37.5171459798091,127.01969555607
41,영업중,서울특별시 강남구 봉은사로 327 (논현동),학원,K.P 댄스스쿨(3),37.5101865123901,127.042653360305
42,영업중,"서울특별시 강남구 테헤란로10길 11  (역삼동,4층)",학원,듀오댄스스포츠(3),37.4983798565841,127.032670998374
43,영업중,"서울특별시 강남구 선릉로 507  (역삼동,403호)",학원,선릉댄스스쿨(4),37.5049906216119,127.048432834632
44,영업중,"서울특별시 강남구 학동로 337 (논현동,4층)",학원,조앤리 댄스스쿨(1),37.5170718563031,127.039928031242
45,영업중,"서울특별시 송파구 올림픽로 80 (잠실동, 영원빌딩)",학원,강남 댄스스포츠,37.5115454105966,127.07956762791
46,영업중,서울특별시 강동구 천호대로 1027 (천호동),학원,하바나 댄스 스튜디오,37.5381084632581,127.126395521678
47,영업중,서울특별시 영등포구 영등포로 262 (영등포동3가),학원,베스트리듬댄스 무도학원,37.5185874621212,126.910471448427
